Name,Address,Rating,Website,Price,City,State
The Manhattan at Times Square Hotel,"790 7th Ave, New York, NY 10019, USA",3.1,https://www.ihg.com/spnd/hotels/us/en/new-york/nycat/hoteldetail,570,New York City,NY
"Holiday Inn New York City - Times Square, an IHG Hotel","585 8th Ave, New York, NY 10018, USA",4.1,https://www.ihg.com/holidayinn/hotels/us/en/new-york/nycma/hoteldetail?cm_mmc=GoogleMaps-_-HI-_-US-_-NYCMA,250,New York City,NY
Delta Hotels New York Times Square,"340 W 40th St, New York, NY 10018, USA",3.3,https://www.marriott.com/en-us/hotels/nycde-delta-hotels-new-york-times-square/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,220,New York City,NY
The New Yorker Hotel,"481 8th Ave, New York, NY 10001, USA",3.9,https://www.wyndhamhotels.travel/,290,New York City,NY
Park Central Hotel New York,"870 7th Ave, New York, NY 10019, USA",3.9,http://www.parkcentralny.com/,236,New York City,NY
DoubleTree by Hilton Hotel New York Times Square West,"350 W 40th St, New York, NY 10018, USA",3.5,https://www.hilton.com/en/hotels/nycswdt-doubletree-new-york-times-square-west/?SEO_id=GMB-AMER-DT-NYCSWDT&y_source=1_NDQ2NjAzNi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,125,New York City,NY
SpringHill Suites New York Manhattan/Times Square South,"338 W 36th St., New York, NY 10018, USA",3.9,https://www.marriott.com/en-us/hotels/nycsh-springhill-suites-new-york-manhattan-times-square-south/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,150,New York City,NY
Virgin Hotels New York City,"1227 Broadway, New York, NY 10001, USA",4,https://virginhotels.com/nyc/,198,New York City,NY
Hyatt Grand Central New York,"at Grand Central Terminal, 109 E 42nd St, New York, NY 10017, USA",4,https://www.hyatt.com/en-US/hotel/new-york/hyatt-grand-central-new-york/nycgh?src=corp_lclb_google_seo_nycgh&%3Futm_source=google&utm_medium=organic&utm_campaign=lmr,157,New York City,NY
Graduate by Hilton New York,"22 N Loop Rd, New York, NY 10044, USA",4.1,https://www.hilton.com/en/hotels/nycgngu-graduate-new-york/?SEO_id=GMB-AMER-GU-NYCGNGU&y_source=1_MTA1MzY0NDc0MS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,86,New York City,NY
Freehand Los Angeles,"416 W 8th St, Los Angeles, CA 90014, USA",4.1,https://freehandhotels.com/los-angeles/?utm_source=google-my-business&utm_medium=organic&utm_campaign=hotel-los-angeles,148,Los Angeles,CA
citizenM Los Angeles Downtown hotel,"361 S Spring St, Los Angeles, CA 90013, USA",4.4,https://www.citizenm.com/hotels/united-states/los-angeles/los-angeles-downtown-hotel?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=lad&y_source=1_NDkyNzM5MTUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,193,Los Angeles,CA
Hollywood Hotel ®,"District of Hollywood, 1160 N Vermont Ave, Los Angeles, CA 90029, USA",3.6,https://www.thehollywoodhotel.com/,120,Los Angeles,CA
STILE Downtown Los Angeles by Kasa,"929 S Broadway, Los Angeles, CA 90015, USA",4.4,https://kasa.com/properties/stile-downtown-los-angeles-by-kasa,139,Los Angeles,CA
Beverly Hills Plaza Hotel & Spa,"10300 Wilshire Blvd, Los Angeles, CA 90024, USA",4.3,https://www.beverlyhillsplazahotel.com/,176,Los Angeles,CA
Hollywood Inn Suites Hotel,"1030 W El Segundo Blvd, Gardena, CA 90247, USA",3.8,https://www.hollywoodsuiteshotel.com/,204,Los Angeles,CA
"The Ritz-Carlton, Los Angeles","900 W Olympic Blvd, Los Angeles, CA 90015, USA",4.6,https://www.ritzcarlton.com/en/hotels/laxlz-the-ritz-carlton-los-angeles/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,109,Los Angeles,CA
